# matchedfilter CPU COST table -- FDR and batch-aware relative costs
# format cost-fd-pairs-v1
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  4c2706e
# Warm public-API cost relative to the widest band for this profile and shape.
# The reference-profile gate model computes accuracy independently.
# U=2 and K=8 are retained as configuration metadata; taps are inert.
# COST n band U K snr fd pairs f beff relative_cost
COST 131072 8192 2 8 5.00 0.01 512 0.556820 6433.428 0.782837
COST 131072 16384 2 8 5.00 0.01 512 0.739558 10405.039 0.815698
COST 131072 32768 2 8 5.00 0.01 512 0.884753 14510.533 0.860733
COST 131072 65536 2 8 5.00 0.01 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 5.00 0.01 512 0.165475 1248.868 0.738406
COST 131072 4096 2 8 5.00 0.01 512 0.461394 3219.569 0.738064
COST 131072 8192 2 8 5.00 0.01 512 0.695493 5977.928 0.773895
COST 131072 16384 2 8 5.00 0.01 512 0.845646 8515.006 0.794977
COST 131072 32768 2 8 5.00 0.01 512 0.940342 10452.859 0.875927
COST 131072 65536 2 8 5.00 0.01 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 5.00 0.01 512 0.244680 1346.831 1.081423
COST 131072 4096 2 8 5.00 0.01 512 0.588141 3276.857 1.061434
COST 131072 8192 2 8 5.00 0.01 512 0.805819 5460.169 1.105279
COST 131072 16384 2 8 5.00 0.01 512 0.916724 6964.047 1.121783
COST 131072 32768 2 8 5.00 0.01 512 0.972240 7818.850 1.103610
COST 131072 65536 2 8 5.00 0.01 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 5.00 0.01 512 0.334152 1456.527 1.442056
COST 131072 4096 2 8 5.00 0.01 512 0.698534 3302.182 1.500929
COST 131072 8192 2 8 5.00 0.01 512 0.883560 4943.763 1.468588
COST 131072 16384 2 8 5.00 0.01 512 0.958440 5786.452 1.324941
COST 131072 32768 2 8 5.00 0.01 512 0.988192 6148.706 0.968303
COST 131072 65536 2 8 5.00 0.01 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 5.50 0.0001 512 0.101363 1161.495 0.730477
COST 131072 4096 2 8 5.50 0.0001 512 0.330517 3133.156 0.727167
COST 131072 8192 2 8 5.50 0.0001 512 0.556820 6433.428 0.746656
COST 131072 16384 2 8 5.50 0.0001 512 0.739558 10405.039 0.783126
COST 131072 32768 2 8 5.50 0.0001 512 0.884753 14510.533 0.850975
COST 131072 65536 2 8 5.50 0.0001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 5.50 0.0001 512 0.165475 1248.868 0.738307
COST 131072 4096 2 8 5.50 0.0001 512 0.461394 3219.569 0.771246
COST 131072 8192 2 8 5.50 0.0001 512 0.695493 5977.928 0.780365
COST 131072 16384 2 8 5.50 0.0001 512 0.845646 8515.006 0.798036
COST 131072 32768 2 8 5.50 0.0001 512 0.940342 10452.859 0.851740
COST 131072 65536 2 8 5.50 0.0001 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 5.50 0.0001 512 0.244680 1346.831 0.997798
COST 131072 4096 2 8 5.50 0.0001 512 0.588141 3276.857 1.005455
COST 131072 8192 2 8 5.50 0.0001 512 0.805819 5460.169 1.024234
COST 131072 16384 2 8 5.50 0.0001 512 0.916724 6964.047 1.091048
COST 131072 32768 2 8 5.50 0.0001 512 0.972240 7818.850 1.151779
COST 131072 65536 2 8 5.50 0.0001 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 5.50 0.0001 512 0.334152 1456.527 1.827530
COST 131072 4096 2 8 5.50 0.0001 512 0.698534 3302.182 1.917316
COST 131072 8192 2 8 5.50 0.0001 512 0.883560 4943.763 2.001469
COST 131072 16384 2 8 5.50 0.0001 512 0.958440 5786.452 1.957533
COST 131072 32768 2 8 5.50 0.0001 512 0.988192 6148.706 1.180668
COST 131072 65536 2 8 5.50 0.0001 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 5.50 0.001 512 0.101363 1161.495 0.745082
COST 131072 4096 2 8 5.50 0.001 512 0.330517 3133.156 0.778735
COST 131072 8192 2 8 5.50 0.001 512 0.556820 6433.428 0.764440
COST 131072 16384 2 8 5.50 0.001 512 0.739558 10405.039 0.787814
COST 131072 32768 2 8 5.50 0.001 512 0.884753 14510.533 0.868879
COST 131072 65536 2 8 5.50 0.001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 5.50 0.001 512 0.165475 1248.868 0.790833
COST 131072 4096 2 8 5.50 0.001 512 0.461394 3219.569 0.801763
COST 131072 8192 2 8 5.50 0.001 512 0.695493 5977.928 0.827425
COST 131072 16384 2 8 5.50 0.001 512 0.845646 8515.006 0.838206
COST 131072 32768 2 8 5.50 0.001 512 0.940342 10452.859 0.894572
COST 131072 65536 2 8 5.50 0.001 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 5.50 0.001 512 0.244680 1346.831 1.414205
COST 131072 4096 2 8 5.50 0.001 512 0.588141 3276.857 1.396966
